Num;Currency;FullName;Limit;Note
784;AED;Дирхам (ОАЭ);;
971;AFN;Афгани;;
8;ALL;Лек;;
174;KMF;Коморский франк;;
51;AMD;Армянский драм;;
532;ANG;Нидерландский антильский гульден;;
973;AOA;Кванза;;
32;ARS;Аргентинское песо;;
36;AUD;Австралийский доллар;;
533;AWG;Арубанский флорин;;
944;AZN;Азербайджанский манат;;
977;BAM;Конвертируемая марка;;
52;BBD;Барбадосский доллар;;
50;BDT;Така;;
975;BGN;Болгарский лев;;
48;BHD;Бахрейнский динар;;
108;BIF;Бурундийский франк;;
60;BMD;Бермудский доллар;;
96;BND;Брунейский доллар;;
68;BOB;Боливиано;;
986;BRL;Бразильский реал;;
44;BSD;Багамский доллар;;
64;BTN;Нгултрум;;
72;BWP;Пула;;
933;BYN;Белорусский рубль;;
974;BYR;Белорусский рубль;;1 Применяется для денежных средств, уплаченных до 30 июня 2016 г. включительно.
84;BZD;Белизский доллар;;
124;CAD;Канадский доллар;;
976;CDF;Конголезский франк;;
756;CHF;Швейцарский франк;;
152;CLP;Чилийское песо;;
156;CNY;Юань;;
170;COP;Колумбийское песо;;
970;COU;Единица реальной стоимости;;
188;CRC;Костариканский колон;;
931;CUC;Конвертируемое песо;;
192;CUP;Кубинское песо;;
132;CVE;Эскудо Кабо-Верде;;
203;CZK;Чешская крона;;
262;DJF;Франк Джибути;;
208;DKK;Датская крона;;
214;DOP;Доминиканское песо;;
12;DZD;Алжирский динар;;
418;LAK;Лаосский кип;;
440;LTL;Литовский лит;;3 - Не применяется с 1 января 2015 г.
478;MRO;Угия;;4 - Не применяется с 1 января 2018 г.
928;VES;Боливар Соберано;;
929;MRU;Угия;;
678;STD;Добра;;4 - Не применяется с 1 января 2018 г.
930;STN;Добра;;
937;VEF;Боливар;;5 - Не применяется с 20 августа 2018 г.
818;EGP;Египетский фунт;;
232;ERN;Накфа;;
230;ETB;Эфиопский быр;;
978;EUR;Евро;;
242;FJD;Доллар Фиджи;;
238;FKP;Фунт Фолклендских островов;;
826;GBP;Фунт стерлингов;;
981;GEL;Лари;;
936;GHS;Ганский седи;;
292;GIP;Гибралтарский фунт;;
270;GMD;Даласи;;
324;GNF;Гвинейский франк;;
320;GTQ;Кетсаль;;
328;GYD;Гайанский доллар;;
344;HKD;Гонконгский доллар;;
340;HNL;Лемпира;;
191;HRK;Куна;;
332;HTG;Гурд;;
348;HUF;Форинт;;
360;IDR;Рупия;;
376;ILS;Новый израильский шекель;;
356;INR;Индийская рупия;;
368;IQD;Иракский динар;;
364;IRR;Иранский риал;;
352;ISK;Исландская крона;;
388;JMD;Ямайский доллар;;
400;JOD;Иорданский динар;;
392;JPY;Иена;;
404;KES;Кенийский шиллинг;;
417;KGS;Сом;;
116;KHR;Риель;;
408;KPW;Северокорейская вона;;
410;KRW;Вона;;
414;KWD;Кувейтский динар;;
136;KYD;Доллар Островов Кайман;;
398;KZT;Тенге;;
422;LBP;Ливанский фунт;;
144;LKR;Шри-Ланкийская рупия;;
430;LRD;Либерийский доллар;;
426;LSL;Лоти;;
428;LVL;Латвийский лат;;2 Не применяется с 15 января 2014 г.
434;LYD;Ливийский динар;;
504;MAD;Марокканский дирхам;;
498;MDL;Молдавский лей;;
969;MGA;Малагасийский ариари;;
807;MKD;Денар;;
104;MMK;Кьят;;
496;MNT;Тугрик;;
446;MOP;Патака;;
480;MUR;Маврикийская рупия;;
462;MVR;Руфия;;
454;MWK;Малавийская квача;;
484;MXN;Мексиканское песо;;
458;MYR;Малайзийский ринггит;;
943;MZN;Мозамбикский метикал;;
516;NAD;Доллар Намибии;;
566;NGN;Найра;;
558;NIO;Золотая кордоба;;
578;NOK;Норвежская крона;;
524;NPR;Непальская рупия;;
554;NZD;Новозеландский доллар;;
512;OMR;Оманский риал;;
590;PAB;Бальбоа;;
604;PEN;Соль;;
598;PGK;Кина;;
608;PHP;Филиппинское песо;;
586;PKR;Пакистанская рупия;;
985;PLN;Злотый;;
600;PYG;Гуарани;;
634;QAR;Катарский риал;;
946;RON;Румынский лей;;
941;RSD;Сербский динар;;
643;RUB;Российский рубль;;
646;RWF;Франк Руанды;;
682;SAR;Саудовский риял;;
90;SBD;Доллар Соломоновых Островов;;
690;SCR;Сейшельская рупия;;
938;SDG;Суданский фунт;;
752;SEK;Шведская крона;;
702;SGD;Сингапурский доллар;;
654;SHP;Фунт Святой Елены;;
694;SLL;Леоне;;
706;SOS;Сомалийский шиллинг;;
968;SRD;Суринамский доллар;;
728;SSP;Южносуданский фунт;;
222;SVC;Сальвадорский колон;;
760;SYP;Сирийский фунт;;
748;SZL;Лилангени;;
764;THB;Бат;;
972;TJS;Сомони;;
934;TMT;Новый туркменский манат;;
788;TND;Тунисский динар;;
776;TOP;Паанга;;
949;TRY;Турецкая лира;;
780;TTD;Доллар Тринидада и Тобаго;;
901;TWD;Новый тайваньский доллар;;
834;TZS;Танзанийский шиллинг;;
980;UAH;Гривна;;
800;UGX;Угандийский шиллинг;;
840;USD;Доллар США;;
940;UYI;Уругвайское песо в индексированных единицах;;
858;UYU;Уругвайское песо;;
860;UZS;Узбекский сум;;
704;VND;Донг;;
548;VUV;Вату;;
882;WST;Тала;;
950;XAF;Франк КФА ВЕАС;;3 Франк КФА ВЕАС – денежная единица Банка государств Центральной Африки.
951;XCD;Восточно-карибский доллар;;
960;XDR;СДР (специальные права заимствования);;
952;XOF;Франк КФА ВСЕАО;;4 Франк КФА ВСЕАО – денежная единица Центрального Банка государств Западной Африки
953;XPF;Франк КФП;;
886;YER;Йеменский риал;;
710;ZAR;Рэнд;;
967;ZMW;Замбийская квача;;
932;ZWL;Доллар Зимбабве;;
